company_name,company_number,category,website,
Территория идеального тела For You,+7 (999) 497-44-03,Салоны красоты,[],Ставрополь
Летай,+7 (918) 775-27-95,Салоны красоты,[],Ставрополь
Зазеркалье,+7 (8652) 73-31-76,Салоны красоты,[],Ставрополь
Beauty band,+7 (8652) 61-93-80,Ногтевые студии,[],Ставрополь
Happy Studio,+7 (962) 004-14-44,Салоны красоты,[],Ставрополь
Velour,+7 (905) 441-11-76,Косметология,https://taplink.cc/velour_studio_,Ставрополь
Жатэ Gold,+7 (989) 995-64-44,Салоны красоты,[],Ставрополь
Mishelle. style,+7 (988) 115-97-77,Салоны красоты,https://mishelle-style.clients.site/,Ставрополь
Salon vertat,+7 (962) 440-15-96,Салоны красоты,[],Ставрополь
Hairmania,+7 (968) 265-56-62,Парикмахерские,[],Ставрополь
Glukoza,+7 (918) 787-08-99,Салоны красоты,[],Ставрополь
ЛидиЛик,+7 (988) 089-85-49,Косметология,http://lidilicst.tilda.ws/,Ставрополь
Nabokova,+7 (918) 761-67-89,Салоны красоты,[],Ставрополь
Estetic Lab by Arpi Sarksyan,+7 (903) 478-21-09,Салоны красоты,[],Ставрополь
Keratin. margo_stavropol,+7 (918) 877-91-51,Парикмахерские,[],Ставрополь
Beautiful me studio,+7 (961) 471-92-82,Салоны красоты,[],Ставрополь
Malina,+7 (8652) 90-38-40,Парикмахерские,[],Ставрополь
Bardakova Studio,+7 (918) 884-41-81,Салоны красоты,[],Ставрополь
Aruti_nail,+7 (928) 322-11-77,Салоны красоты,[],Ставрополь
Brow City Studio,+7 (977) 015-81-02,Салоны красоты,[],Ставрополь
Persona,+7 (8652) 66-40-09,Салоны красоты,[],Ставрополь
Fzm,+7 (909) 773-52-11,Салоны красоты,[],Ставрополь
K & M,+7 (928) 929-30-40,Салоны красоты,[],Ставрополь
By Albina vykkovanets,+7 (928) 970-55-55,Салоны красоты,[],Ставрополь
Ed,+7 (909) 772-17-72,Салоны красоты,[],Ставрополь
BeNice,+7 (962) 011-88-49,Салоны красоты,[],Ставрополь
АтуА,+7 (928) 638-25-58,Салоны красоты,[],Ставрополь
Территория маникюра,+7 (903) 444-95-49,Ногтевые студии,[],Ставрополь
Its_Baze,+7 (905) 493-91-33,Салоны красоты,https://link.tetradka.io/online/its_baze,Ставрополь
Mafia of beauty,+7 (961) 466-00-09,Салоны красоты,[],Ставрополь
Забавы ради,+7 (928) 222-45-04,Салоны красоты,[],Ставрополь
Hair studio,+7 (961) 452-88-32,Салоны красоты,https://dikidi.net/1334532,Ставрополь
Bananzza beauty academy,+7 (962) 453-19-91,Салоны красоты,[],Ставрополь
Пруха,+7 (961) 456-75-75,Ногтевые студии,[],Ставрополь
Dilemma Brows,+7 (962) 402-02-60,Салоны красоты,[],Ставрополь
Студия окрашивания волос,+7 (988) 849-14-84,Салоны красоты,[],Ставрополь
Vanilla_studio,+7 (928) 293-51-21,Салоны красоты,[],Ставрополь
Эйва,+7 (906) 493-08-03,Салоны красоты,[],Ставрополь
Студия красоты Милы Ситниковой,+7 (928) 010-77-69,Салоны красоты,[],Ставрополь
Md Beauty,+7 (962) 495-74-99,Салоны красоты,[],Ставрополь
Студия красивых волос,+7 (988) 760-04-35,Салоны красоты,[],Ставрополь
Хиджама,+7 (928) 777-26-11,Салоны красоты,http://hijama-sunna.ru/,Ставрополь
Nebo,+7 (968) 270-70-08,Салоны красоты,[],Ставрополь
Demianova Lashes,+7 (928) 014-38-83,Салоны красоты,[],Ставрополь
Ноготки,+7 (918) 875-64-16,Салоны красоты,[],Ставрополь
Фуксия,+7 (961) 473-02-49,Салоны красоты,[],Ставрополь
Md,+7 (988) 731-75-65,Салоны красоты,[],Ставрополь
Студия красоты Дарьи,+7 (962) 427-55-55,Салоны красоты,[],Ставрополь
Нью тон,+7 (962) 403-78-97,Салоны красоты,[],Ставрополь
Amore mio,+7 (905) 415-01-11,Салоны красоты,[],Ставрополь
Cabinet красоты,+7 (968) 278-11-98,Салоны красоты,[],Ставрополь
Zoloto,+7 (962) 423-81-02,Салоны красоты,[],Ставрополь
Body time,+7 (906) 479-61-37,Салоны красоты,[],Ставрополь
Ваниль,+7 (928) 264-30-87,Салоны красоты,[],Ставрополь
Diana Shadua,+7 (928) 371-08-58,Салоны красоты,[],Ставрополь
Студия макияжа и причесок Юлии Кныш,+7 (918) 771-07-51,Салоны красоты,[],Ставрополь
Doberman,+7 (962) 499-80-83,Салоны красоты,[],Ставрополь
Shamray,+7 (938) 500-01-44,Салоны красоты,[],Ставрополь
Glow Glow,+7 (988) 093-04-62,Салоны красоты,[],Ставрополь
Континент,+7 (8652) 94-75-75,Гостиницы,http://www.kontinent26.ru/,Ставрополь
Октябрьский,+7 (8652) 22-16-16,Гостиницы,https://отель-ставрополь.рф/,Ставрополь
Мезонин,+7 (8652) 74-80-80,Гостиницы,http://hotelmezonin.ru/,Ставрополь
Динамо,+7 (8652) 36-42-15,Гостиницы,http://www.hoteldinamo.ru/,Ставрополь
Виктория,+7 (962) 451-22-01,Гостиницы,http://ltd-victory.ru/,Ставрополь
Онегин,+7 (8652) 33-44-43 (доб. 2),Гостиницы,http://www.oneginhot.ru/,Ставрополь
Дизайн - Отель,+7 (962) 440-01-10,Гостиницы,https://shampan-hotel.ru/,Ставрополь
Кентавр,+7 (8652) 23-00-33,Гостиницы,http://hotel.kentavr.org/,Ставрополь
Северная,+7 (8652) 91-00-20,Гостиницы,http://hotelsevernaya.ru/,Ставрополь
Good Luck,+7 (928) 005-85-24,Гостиницы,https://goodluckstav.ru/,Ставрополь
Комфорт,+7 (962) 402-44-22,Гостиницы,https://ru.poisk-oteli.ru/directory/10786/,Ставрополь
Звезда,+7 (928) 366-11-71,Гостиницы,http://zvezda-hotel.ru/,Ставрополь
СПИ Сладко,+7 (8652) 94-49-63,Гостиницы,[],Ставрополь
Гостевой дом на 8 Марта,+7 (8652) 71-66-91,Гостиницы,[],Ставрополь
Восход,+7 (962) 456-54-44,Гостиницы,[],Ставрополь
Лесная поляна,+7 (8652) 56-44-40,Гостиницы,http://www.woodglade.ru/,Ставрополь
Кордон,+7 (8652) 56-20-17,Гостиницы,[],Ставрополь
Гостевой дом Kuta,+7 (961) 497-91-31,Гостиницы,[],Ставрополь
Постоялый двор,+7 (8652) 48-16-07,Гостиницы,https://ru.poisk-oteli.ru/directory/10798/,Ставрополь
Параллель,+7 (8652) 65-65-66,Гостиницы,http://hotel26.ru/,Ставрополь
Пальмира клуб,+7 (8652) 66-66-99,Гостиницы,http://www.palmira-club.com/,Ставрополь
Ева,+7 (962) 449-94-23,Гостиницы,[],Ставрополь
Апгрейд,+7 (8652) 38-77-44,Гостиницы,[],Ставрополь
Рассвет,+7 (962) 027-07-00,Гостиницы,https://sunrise-gostevoj-dom.clients.site/,Ставрополь
Рашель,+7 (8652) 62-46-66,Гостиницы,[],Ставрополь
Лайм,+7 (905) 492-03-39,Гостиницы,[],Ставрополь
АдмиралЪ,+7 (962) 450-60-36,Гостиницы,[],Ставрополь
Оазис-Юг,+7 (963) 383-12-60,Гостиницы,[],Ставрополь
Отель Хотси-Тотси,+7 (862) 448-80-10,Гостиницы,[],Ставрополь
Усадьба,+7 (8652) 38-70-24,Гостиницы,[],Ставрополь
Azimut Отель Ставрополь,+7 (928) 230-13-89,Гостиницы,[],Ставрополь
Партия,+7 (8652) 36-93-93,Гостиницы,[],Ставрополь
Апартаменты на Мира,+7 (962) 449-63-30,Жильё посуточно,[],Ставрополь
Михайловские Бани,+7 (8652) 28-33-11,Гостиницы,[],Ставрополь
Уютный дом,+7 (918) 808-02-67,Гостиницы,[],Ставрополь
Банный дом,+7 (8652) 43-21-68,Сауны,http://банныйдом26.рф/,Ставрополь
Апартаменты на улице Доваторцев 77 корпус 2,+7 (914) 374-63-08,Гостиницы,[],Ставрополь
RentFlat на улице Матрены Наздрачевой 5/2,+7 (988) 110-88-65,Гостиницы,https://travel.mts.ru/hotels/Apart_Sharing_(Apart_Shering)_na_ulice_Matreny_Nazdrachevoi_5_2_28f280c8-7033-414a-9b3c-2d27e0a27474,Ставрополь
Апартаменты Монро,+7 (962) 449-63-30,Гостиницы,[],Ставрополь
Apartments Tukhachevskogo 26/3,+7 (962) 442-55-73,Жильё посуточно,[],Ставрополь
Апартаменты квартира Ставрополь,+7 (988) 700-72-42,Гостиницы,[],Ставрополь
