company_name,company_number,category,website
Sunlight Apart Hotel,+7 (968) 300-47-70,Гостиницы,http://www.sunlight-apart-hotel.ru/,Сочи
Пять Гнёзд,+7 (912) 400-05-06,Комплексы апартаментов,[],Сочи
Апарт-квартал Альпийский,+7 (903) 177-22-42,Гостиницы,https://alp-sochi.ru/,Сочи
Pal'ma,+7 (918) 618-76-04,Гостиницы,[],Сочи
Апартаменты Сочи,+7 (988) 237-13-37,Гостиницы,[],Сочи
Апартаменты на Светлане,+7 (902) 408-12-12,Гостиницы,https://hotelsvetlana.com/,Сочи
Аквамарин,+7 (918) 407-89-49,Гостиницы,[],Сочи
Гостевой дом на улице Грибоедова,+7 (918) 000-39-69,Гостиницы,[],Сочи
Мацеста,+7 (918) 600-12-34,Гостевые дома,http://ghmatsesta.com/,Сочи
Sotis Galaxy,8 (800) 222-28-16,Гостиницы,https://sochigalaxy.ru/,Сочи
Bamboo Dom,+7 (918) 308-90-39,Гостиницы,[],Сочи
Сан-Сити,+7 (900) 277-49-29,Гостиницы,https://suncitysutochno.ru/kvartira-siyanie-sochi/,Сочи
Гостевой дом на Инжирной,+7 (862) 231-94-41,Гостиницы,https://gostevoy-dom-na-inzhirnoy.ru/,Сочи
Сергей,+7 (963) 160-50-50,Гостиницы,[],Сочи
Гостевой дом на Инжирной,+7 (862) 231-94-41,Гостиницы,https://gostevoy-dom-na-inzhirnoy.ru/,Сочи
Альфа на улице Первомайская,8 (800) 100-88-39,Гостиницы,[],Сочи
Гостевой дом на красной,+7 (962) 887-07-00,Гостиницы,[],Сочи
Центр отдыха Сочи,+7 (862) 262-89-46,"Базы, дома отдыха",[],Сочи
Гостевой дом на Виноградной,+7 (928) 665-67-35,Гостевые дома,[],Сочи
Апартаменты GoodZone на Театральной,+7 (965) 469-30-55,Гостиницы,[],Сочи
Trust Control,+7 (989) 756-23-87,Гостиницы,http://www.trust-co.ru/,Сочи
Апартаменты Метрополь Рэнт Апарт,+7 (918) 600-01-67,Гостиницы,https://www.rentapart-sochi.ru/,Сочи
Апарт-отель Smart Bali,+7 (995) 611-60-00,Гостиницы,[],Сочи
Апарт-отель низ района Светланы,+7 (988) 142-17-37,Гостиницы,[],Сочи
Millenium,+7 (964) 948-02-78,Гостиницы,[],Сочи
Sun-Apartments на Курортном проспекте,+7 (938) 888-09-69,Гостиницы,https://sun-apartments.ru/,Сочи
Апартаменты в ЖК Три капитана,+7 (995) 169-19-99,Гостиницы,[],Сочи
Центральный отель Сочи,+7 (918) 526-05-55,Гостиницы,[],Сочи
Апартаменты в Монтевиль,8 (800) 234-36-32,Гостиницы,https://www.montevillesochi.ru/,Сочи
Lux Sochi,+7 (918) 138-70-50,Гостиницы,[],Сочи
Апартаменты Gp 2/92-10,+7 (919) 567-76-44,Гостиницы,[],Сочи
Апартаменты Тасмана,+7 (964) 943-48-91,Гостиницы,[],Сочи
Апартаменты Рядом с Парком Дендрарий,+7 (918) 002-30-92,Гостиницы,[],Сочи
"Гостевой дом на Комсомольской, 38а",+7 (928) 458-07-71,Гостиницы,[],Сочи
Апартаменты у моря,+7 (950) 750-33-68,Гостиницы,[],Сочи
SanMaria,8 (800) 333-62-61,Гостиницы,[],Сочи
Ретрит-Центр Шакти,+7 (999) 639-36-36,Гостиницы,https://shakticenter.ru/,Сочи
Апартаменты на Улице Красной,+7 (910) 590-25-27,Гостиницы,[],Сочи
Апартаменты АрБат,+7 (922) 797-65-00,Гостиницы,[],Сочи
Отдых в Сочи!,+7 (938) 440-34-47,Гостиницы,[],Сочи
Королевский парк,+7 (966) 770-58-25,Жилые комплексы,https://zkroyalpark.ru/,Сочи
Апартаменты Mytimewell центр,+7 (908) 675-59-03,Гостиницы,[],Сочи
Апарт-отель,+7 (967) 316-81-32,Гостиницы,[],Сочи
В Дендрарии,+7 (964) 948-02-78,Гостиницы,[],Сочи
Апартаменты Форест Хиллс,+7 (918) 910-46-08,Гостиницы,[],Сочи
Deluxe Apartment на улице Есауленко 1б,+7 (938) 443-47-56,Гостиницы,https://deluxapartment.ru/,Сочи
Апартаменты Ареда,+7 (964) 946-94-96,Гостиницы,[],Сочи
Black Sea,+7 (918) 205-53-00,Гостиницы,[],Сочи
Апарт-отель Депутатский,+7 (928) 259-36-43,Гостиницы,https://apart-otel-deputatskij.clients.site/,Сочи
